condition,class,precision,recall,f1,support,delta_f1
candidate_mentions_control_seed4,Favor,0.8027522935779816,0.7446808510638298,0.7726269315673289,235.0,-0.012622526133321932
candidate_mentions_control_seed4,Neither,0.7130044843049327,0.7395348837209302,0.726027397260274,215.0,-0.002944565356548412
lexical_cues_top10_control_seed4,Against,0.9113082039911308,0.9340909090909091,0.9225589225589226,440.0,0.0
lexical_cues_top10_control_seed4,Favor,0.8008849557522124,0.7702127659574468,0.7852494577006508,235.0,0.0
lexical_cues_top10_control_seed4,Neither,0.7323943661971831,0.7255813953488373,0.7289719626168224,215.0,0.0
lexical_cues_top25_control_seed4,Against,0.9092920353982301,0.9340909090909091,0.92152466367713,440.0,-0.001034258881792538
lexical_cues_top25_control_seed4,Favor,0.793859649122807,0.7702127659574468,0.7818574514038877,235.0,-0.0033920062967630615
lexical_cues_top25_control_seed4,Neither,0.7380952380952381,0.7209302325581395,0.7294117647058823,215.0,0.00043980208905991525
candidate_mentions_control_seed5,Against,0.9155555555555556,0.9363636363636364,0.9258426966292135,440.0,0.0032837740702909013
candidate_mentions_control_seed5,Favor,0.822429906542056,0.7489361702127659,0.7839643652561247,235.0,-0.0012850924445261258
candidate_mentions_control_seed5,Neither,0.7212389380530974,0.7581395348837209,0.7392290249433107,215.0,0.010257062326488264
lexical_cues_top10_control_seed5,Against,0.9111111111111111,0.9318181818181818,0.9213483146067416,440.0,-0.0012106079521809754
lexical_cues_top10_control_seed5,Favor,0.8008849557522124,0.7702127659574468,0.7852494577006508,235.0,0.0
lexical_cues_top10_control_seed5,Neither,0.7336448598130841,0.7302325581395349,0.7319347319347319,215.0,0.0029627693179095083
lexical_cues_top25_control_seed5,Against,0.9094922737306843,0.9363636363636364,0.9227323628219485,440.0,0.00017344026302590354
lexical_cues_top25_control_seed5,Favor,0.8035714285714286,0.7659574468085106,0.7843137254901961,235.0,-0.0009357322104547316
lexical_cues_top25_control_seed5,Neither,0.7323943661971831,0.7255813953488373,0.7289719626168224,215.0,0.0
